Startup received!

I ,time,shin_cal_tot,shin_cal_gyr,shin_cal_acc,shin_cal_mag | foot_cal_tot,foot_cal_gyr,foot_cal_acc,foot_cal_mag | shin_qw,shin_qx,shin_qy,shin_qz | foot_qw,foot_qx,foot_qy,foot_qz | shin_ax,shin_ay,shin_az | foot_ax,foot_ay,foot_az
F ,time | val
L ,time | val
M ,time | potL_cur,potR_cur | potL_adj,potR_adj | targetPotL,targetPotR | motorCmdL,motorCmdR
LOG,time | msg
ERR,msg

LOG,97977 | Motors started.
I ,99093,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4137,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.63,-1.08,2.51,-0.54,9.39
F ,99093,107
M ,99093,873,247,873.0,247.0,323,700,1400,1600
L ,99097,106
I ,99102,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4137,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-1.86,81.92,3.87,76.81,41.06
L ,99117,106
I ,99143,2,3,1,3,0,3,1,0,0.3294,0.6144,0.0387,2.0482,0.0769,0.0768,0.0769,0.0012,-86.8,145.75,-104.74,-238.39,120.29,-227.8
F ,99173,275
I ,99183,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.65,-0.68,-1.13,2.49,-0.55,9.42
F ,99183,274
L ,99202,106
M ,99202,873,248,873.0,248.0,923,100,1532,1400
I ,99223,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.69,-0.66,-1.08,2.5,-0.52,9.43
F ,99223,274
L ,99223,106
M ,99223,873,248,873.0,248.0,923,100,1532,1400
I ,99233,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.7935,-3.182,0.0873,0.0247,8.73,2.47,9.23,1.0,15.32,14.0
I ,99263,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.68,-1.05,2.5,-0.52,9.4
F ,99263,277
L ,99263,106
M ,99263,873,248,873.0,248.0,923,100,1532,1400
I ,99273,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.68,-1.07,2.5,-0.52,9.4
F ,99273,276
L ,99273,107
M ,99273,873,248,873.0,248.0,923,100,1532,1400
I ,99283,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.67,-1.12,2.5,-0.52,9.42
F ,223488,63491
I ,99302,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.68,-1.09,2.51,-0.52,9.43
F ,99302,276
L ,99302,106
M ,99302,873,248,873.0,248.0,923,100,1532,1400
I ,99323,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.68,-1.05,2.51,-0.52,9.38
F ,99323,275
L ,99323,106
M ,99323,873,248,873.0,248.0,873,248,923,100
I ,99343,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.62,-1.07,0.24,2.76,26.36
M ,99352,873,248,873.0,248.0,923,100,1532,1400
M ,99373,873,248,873.0,248.0,923,32,1,33847
M ,99384,873,247,873.0,247.0,923,100,1532,1400
I ,99393,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.71,-0.68,-1.04,2.49,-0.54,9.43
F ,99393,276
L ,99393,106
