Startup received!

I ,shin_cal_tot,shin_cal_gyr,shin_cal_acc,shin_cal_mag | foot_cal_tot,foot_cal_gyr,foot_cal_acc,foot_cal_mag | shin_qw,shin_qx,shin_qy,shin_qz | foot_qw,foot_qx,foot_qy,foot_qz | shin_ax,shin_ay,shin_az | foot_ax,foot_ay,foot_az
F ,time | val
L ,time | val
M ,time | potL_cur,potR_cur | potL_adj,potR_adj | targetPotL,targetPotR | motorCmdL,motorCmdR
LOG,time | msg
ERR,msg

LOG,32373 | Motors started.
I ,2,3,0,2,0,3,1,2,0.0,0.5565,0.3757,0.6555,0.7517,0.1397,0.0,0.6311,9.63,1.05,0.0,3.76,0.07,8.98
F ,33739,560
L ,33739,93
I ,2,3,0,2,0,3,1,2,0.0,0.5549,0.3737,0.6569,0.7517,0.1398,0.0,0.6311,9.02,1.71,0.82,3.42,0.1,8.52
F ,33749,559
L ,33749,94
I ,2,3,0,2,0,3,1,2,0.0,0.5535,0.3712,0.6587,0.7517,0.1395,0.0,0.6311,8.98,1.11,0.72,4.32,0.0,9.25
F ,33759,559
L ,33759,93
I ,2,3,0,2,0,3,1,2,0.0,0.5521,0.3686,0.6606,0.7517,0.1394,0.0,0.6311,9.93,0.4,0.31,3.45,0.18,8.22
F ,33769,558
L ,33769,94
I ,2,3,0,2,0,3,1,2,0.0,0.5507,0.3658,0.6625,0.7515,0.1395,0.0,0.6311,9.47,0.56,0.57,4.11,0.0,9.28
F ,33780,556
L ,33780,162
F ,33789,556
L ,33789,94
I ,2,3,0,2,0,3,1,2,0.0,0.5477,0.3605,0.666,0.7515,0.1395,0.0,0.6311,9.21,1.62,1.12,3.4,0.14,8.39
F ,33799,522
L ,33809,94
I ,2,3,0,2,0,3,1,2,0.0,0.5445,0.3557,0.669,0.7515,0.1394,0.0,0.631,9.63,2.06,1.87,3.65,0.56,8.64
F ,33820,522
L ,33820,94
I ,2,3,0,2,0,3,1,2,0.0,0.5429,0.3533,0.6704,0.7514,0.1396,0.0,0.6308,9.0,1.89,2.21,4.65,0.68,9.61
F ,33830,501
L ,2633,8194
I ,2,3,0,2,0,3,1,2,0.0,0.5396,0.3486,0.6666,1.872,0.0515,0.0002,0.0003,2.58,0.0,53.82,34.61,67.37,75.15
F ,33859,396
L ,33859,93
I ,2,3,0,2,0,3,1,2,0.0,0.537,0.3436,0.6746,0.7515,0.139,0.0,0.6303,9.52,1.14,2.63,26.36,81.92,1.32
I ,2,3,0,2,0,3,10,73,0.8194,0.0768,0.0512,0.0769,0.0512,0.002,5.7101,0.9754,263.97,245.81,192.0,0.24,396.84,110.08
F ,33899,191
L ,33802,18720
L ,33909,94
