I ,67581,3,3,0,3,0,3,1,3,0.1871,0.863,-0.2385,0.4038,0.4309,0.4182,-0.17,0.7813,6.01,1.0,-8.35,7.13,-2.13,11.0
F ,67581,65
L ,67581,165
I ,67592,3,3,0,3,0,3,1,3,0.1903,0.8529,-0.239,0.4232,0.4365,0.3985,-0.1644,0.7896,5.75,0.81,-8.27,8.39,-1.5,10.67
F ,67592,65
L ,67592,166
I ,67604,3,3,0,3,0,3,1,3,0.1925,0.8421,-0.2391,0.4434,0.4414,0.3781,-0.1585,0.798,5.34,0.85,-8.43,9.34,-0.47,10.71
F ,67604,66
L ,67604,166
I ,67614,3,3,0,3,0,3,1,3,0.1938,0.8306,-0.2386,0.4641,0.4459,0.3567,-0.1527,0.8065,4.51,1.15,-7.11,9.89,-0.66,10.78
F ,67614,67
L ,67614,166
L ,67617,167
I ,67624,3,3,0,3,0,3,1,3,0.1943,0.8187,-0.2377,0.4851,0.4503,0.3345,-0.147,0.8146,4.67,1.35,-6.88,9.89,-0.66,10.78
F ,67624,67
I ,67631,3,3,0,3,0,3,1,3,0.1943,0.8062,-0.2364,0.5062,0.4542,0.3116,-0.1418,0.8223,4.98,1.44,-6.67,10.07,-2.42,10.53
F ,67631,62
L ,67631,164
I ,67642,3,3,0,3,0,3,1,3,0.1936,0.793,-0.2347,0.5275,0.4575,0.2886,-0.1368,0.8298,5.78,1.44,-6.67,9.88,-3.29,10.35
F ,67642,66
L ,67642,158
F ,67647,65
L ,67647,153
I ,67654,3,3,0,3,0,3,1,3,0.1922,0.7793,-0.2326,0.549,0.4597,0.2657,-0.1321,0.8369,6.76,1.41,-6.46,10.15,-4.78,11.09
I ,67664,3,3,0,3,0,3,1,3,0.1902,0.765,-0.2301,0.5704,0.4606,0.243,-0.1276,0.844,7.03,1.38,-6.4,10.93,-5.05,12.92
F ,67664,72
L ,67664,136
I ,67674,3,3,0,3,0,3,1,3,0.1876,0.7503,-0.2271,0.5917,0.4598,0.2205,-0.1234,0.8511,7.15,1.49,-6.42,10.93,-5.05,12.92
F ,67674,69
L ,67674,127
