Startup received!

I ,shin_cal_tot,shin_cal_gyr,shin_cal_acc,shin_cal_mag | foot_cal_tot,foot_cal_gyr,foot_cal_acc,foot_cal_mag | shin_qw,shin_qx,shin_qy,shin_qz | foot_qw,foot_qx,foot_qy,foot_qz | shin_ax,shin_ay,shin_az | foot_ax,foot_ay,foot_az
F ,time | val
L ,time | val
M ,time | potL_cur,potR_cur | potL_adj,potR_adj | targetPotL,targetPotR | motorCmdL,motorCmdR
LOG,time | msg
ERR,msg

LOG,14863 | Motors started.
F ,15520,0
L ,15520,107
I ,3,3,0,2,0,3,1,2,0.1807,0.6954,-0.0505,0.6936,0.9827,0.0593,-0.1348,0.1113,7.76,2.44,0.75,3.52,2.03,9.56
F ,15529,165
L ,15529,107
I ,3,3,0,2,0,3,1,2,0.181,0.6987,-0.0521,0.69,0.9827,0.0588,-0.1374,0.1091,9.5,2.51,-0.31,3.26,1.94,9.14
F ,15539,0
L ,15539,106
L ,15543,107
I ,3,3,0,2,0,3,1,2,0.1813,0.702,-0.0539,0.6865,0.9826,0.0584,-0.1401,0.1069,10.22,2.79,-0.23,2.75,3.83,12.34
F ,15551,73
I ,3,3,0,2,0,3,1,2,0.1818,0.705,-0.0557,0.6831,0.9827,0.0552,-0.1423,0.1046,10.26,2.36,-0.54,6.42,10.88,24.7
F ,15560,63
L ,15560,107
I ,3,3,0,2,0,3,1,2,0.1824,0.7078,-0.0578,0.6798,0.9835,0.0502,-0.1411,0.101,11.44,3.81,-0.62,-4.55,-0.91,2.28
F ,15570,0
L ,15570,106
I ,3,3,0,2,0,3,1,2,0.184,0.7103,-0.0607,0.6766,0.9844,0.0475,-0.1388,0.0966,9.31,4.17,1.01,1.75,2.39,11.52
F ,15579,175
L ,15579,106
I ,3,3,0,2,0,3,1,2,0.1857,0.7124,-0.0642,0.6736,0.9849,0.0453,-0.1389,0.0925,10.64,2.52,1.03,2.53,0.98,13.84
F ,15589,0
L ,15589,106
F ,15593,11
L ,15593,107
I ,3,3,0,2,0,3,1,2,0.1871,0.7144,-0.0678,0.6707,0.9854,0.0438,-0.1383,0.0883,11.88,2.07,-1.26,-0.91,-0.89,8.64
I ,3,3,0,2,0,3,1,2,0.1886,0.7158,-0.071,0.6685,0.9858,0.0429,-0.1381,0.0843,9.72,1.65,1.14,0.38,0.0,11.02
F ,15610,49
L ,15610,106
I ,3,3,0,2,0,3,1,2,0.1899,0.7167,-0.074,0.6668,0.9862,0.0421,-0.138,0.0808,9.34,2.32,0.56,-0.4,-0.43,10.15
F ,15620,0
L ,15620,106
I ,3,3,0,2,0,3,1,2,0.1909,0.7178,-0.077,0.6649,0.9865,0.0413,-0.1382,0.0775,10.68,2.0,-0.77,-0.14,-0.67,10.01
F ,15629,173
L ,15629,106
I ,3,3,0,2,0,3,1,2,0.1922,0.7184,-0.08,0.6636,0.9866,0.0404,-0.1387,0.0744,10.35,1.91,-0.14,0.69,-0.56,10.94
F ,15638,0
L ,15638,107
I ,3,3,0,2,0,3,1,2,0.1934,0.7188,-0.083,0.6625,0.9869,0.0391,-0.1389,0.0718,9.42,1.8,-0.1,0.3,-0.25,9.72
F ,15651,20
L ,15651,106
F ,15653,0
L ,15653,108
I ,3,3,0,2,0,3,1,2,0.1943,0.719,-0.086,0.6616,0.9871,0.0379,-0.1388,0.0694,9.21,1.25,-0.28,0.18,0.0,10.14
I ,3,3,0,2,0,3,1,2,0.195,0.719,-0.0889,0.661,0.9873,0.0364,-0.1389,0.0671,9.19,1.0,-0.2,0.02,0.0,10.67
F ,15670,0
L ,15670,107
I ,3,3,0,2,0,3,1,2,0.1952,0.7189,-0.0914,0.6607,0.9875,0.0346,-0.1387,0.0651,9.23,0.94,-0.18,-0.2,-0.02,10.47
F ,15678,141
L ,15678,106
I ,3,3,0,2,0,3,1,2,0.1949,0.7186,-0.0935,0.6608,0.9878,0.0325,-0.1381,0.0631,9.17,1.52,-0.23,0.67,-0.31,9.6
F ,15688,0
L ,15688,107
M ,15689,876,248,876.0,248.0,323,700,1400,1600
I ,3,3,0,2,0,3,1,2,0.195,0.718,-0.0961,0.6611,0.9881,0.0302,-0.1373,0.0612,9.03,1.12,-0.2,1.87,-0.38,8.56
F ,15701,0
L ,15701,106
M ,15701,876,248,876.0,248.0,323,700,1400,1600
F ,15703,0
L ,15703,107
I ,3,3,0,2,0,3,1,2,0.1951,0.717,-0.0986,0.6618,0.9883,0.0281,-0.137,0.0597,9.38,1.03,-0.57,2.98,0.27,9.27
M ,15711,876,248,876.0,248.0,323,700,1400,1600
I ,3,3,0,2,0,3,1,2,0.1952,0.716,-0.1011,0.6624,0.9884,0.026,-0.1369,0.0587,9.38,1.03,-0.57,4.09,0.92,9.43
F ,15720,0
L ,15720,107
M ,15720,876,248,876.0,248.0,323,700,1400,1600
I ,3,3,0,2,0,3,1,2,0.1954,0.7151,-0.1035,0.663,0.9886,0.0241,-0.1365,0.0579,9.47,1.12,-0.8,3.71,0.89,9.09
F ,15728,145
L ,15728,107
M ,15729,876,248,876.0,248.0,323,700,1400,1600
L ,15733,106
I ,3,3,0,2,0,3,1,2,0.1959,0.7143,-0.1057,0.6633,0.9888,0.0222,-0.1358,0.0574,9.56,1.05,-0.66,3.54,0.93,9.31
F ,15738,0
M ,15739,876,248,876.0,248.0,323,700,1400,1600
I ,3,3,0,2,0,3,1,2,0.1968,0.7136,-0.1081,0.6634,0.989,0.0202,-0.135,0.0571,9.68,0.85,-0.56,3.2,0.62,9.35
F ,15751,23
L ,15751,107
M ,15751,876,248,876.0,248.0,323,700,1400,1600
I ,3,3,0,2,0,3,1,2,0.1983,0.713,-0.1104,0.6633,0.9891,0.0181,-0.1342,0.0568,9.36,0.43,-0.21,2.67,0.27,9.22
F ,15760,59
L ,15760,106
M ,15760,876,248,876.0,248.0,323,700,1400,1600
I ,3,3,0,2,0,3,1,2,0.1997,0.7123,-0.1127,0.6632,0.9893,0.0158,-0.1334,0.0566,9.22,0.15,-0.12,2.61,0.15,9.28
F ,15770,0
L ,15770,106
M ,15770,876,248,876.0,248.0,323,700,1400,1600
L ,15773,106
I ,3,3,0,2,0,3,1,2,0.2007,0.7117,-0.1146,0.6633,0.9894,0.0136,-0.1326,0.0565,9.15,-0.17,0.05,2.69,-0.23,9.43
F ,15778,158
M ,15779,876,249,876.0,249.0,323,700,1400,1600
L ,15783,106
I ,3,3,0,2,0,3,1,2,0.2008,0.7113,-0.1156,0.6635,0.9895,0.0115,-0.132,0.0565,9.11,-0.33,0.28,2.72,-0.57,9.42
F ,15788,0
M ,15789,876,248,876.0,248.0,323,700,1400,1600
I ,3,3,0,2,0,3,1,2,0.2008,0.711,-0.1165,0.6636,0.9896,0.0098,-0.1314,0.0566,9.6,-0.1,0.0,2.82,-0.61,9.39
F ,15801,0
L ,15801,106
M ,15801,876,249,876.0,249.0,323,700,1400,1600
I ,3,3,0,2,0,3,1,2,0.2007,0.7109,-0.1172,0.6637,0.9897,0.0083,-0.1309,0.0569,9.6,-0.1,0.0,3.06,-0.27,9.64
F ,15810,52
L ,15810,106
M ,15810,876,249,876.0,249.0,323,700,1400,1600
I ,3,3,0,2,0,3,1,2,0.2005,0.7108,-0.1176,0.6637,0.9897,0.0072,-0.1304,0.0573,9.8,-0.02,-0.07,2.91,0.0,9.31
F ,15820,0
L ,15820,106
M ,15820,876,249,876.0,249.0,323,700,1400,1600
I ,3,3,0,2,0,3,1,2,0.2003,0.7109,-0.118,0.6636,0.9898,0.0062,-0.1299,0.0577,10.02,-0.05,-0.28,2.9,0.12,9.35
F ,15828,148
L ,15828,106
M ,15829,876,249,876.0,249.0,323,700,1400,1600
F ,15833,261
L ,15833,107
I ,3,3,0,2,0,3,1,2,0.2003,0.7109,-0.1182,0.6636,0.9898,0.0054,-0.1295,0.0581,9.76,-0.03,-0.07,2.68,0.02,9.23
M ,15839,876,248,876.0,248.0,323,700,1400,1600
I ,3,3,0,2,0,3,1,2,0.2003,0.711,-0.1184,0.6634,0.9898,0.0046,-0.1293,0.0583,9.65,0.12,-0.07,2.73,0.0,9.34
F ,15851,0
L ,15851,106
M ,15851,876,248,876.0,248.0,323,700,1400,1600
I ,3,3,0,2,0,3,1,2,0.2004,0.7112,-0.1186,0.6632,0.9898,0.0039,-0.1292,0.0585,9.65,0.12,-0.07,2.75,-0.1,9.32
F ,15860,60
L ,15860,106
M ,15860,876,249,876.0,249.0,323,700,1400,1600
I ,3,3,0,2,0,3,1,2,0.2006,0.7113,-0.1187,0.663,0.9898,0.0034,-0.1292,0.0586,9.47,0.37,0.02,2.79,-0.17,9.38
F ,15870,0
L ,15870,106
M ,15870,876,249,876.0,249.0,323,700,1400,1600
I ,3,3,0,2,0,3,1,2,0.201,0.7114,-0.119,0.6627,0.9898,0.0029,-0.1293,0.0586,9.52,0.46,-0.07,2.82,-0.1,9.32
F ,15878,104
L ,15878,106
M ,15879,876,248,876.0,248.0,323,700,1400,1600
I ,3,3,0,2,0,3,1,2,0.2013,0.7116,-0.119,0.6624,0.9898,0.0025,-0.1296,0.0586,9.55,0.5,-0.2,2.9,-0.07,9.36
F ,15888,0
L ,15888,106
M ,15889,875,248,875.0,248.0,323,700,1400,1600
I ,3,3,0,2,0,3,1,2,0.2019,0.7117,-0.1194,0.662,0.9898,0.0023,-0.13,0.0584,9.59,0.55,-0.25,2.9,-0.05,9.35
F ,15901,110
L ,15901,106
M ,15901,876,248,876.0,248.0,323,700,1400,1600
I ,3,3,0,2,0,3,1,2,0.2026,0.7118,-0.1198,0.6616,0.9897,0.0023,-0.1303,0.0582,9.6,0.5,-0.55,2.91,0.0,9.34
F ,15910,56
L ,15910,106
M ,15910,876,248,876.0,248.0,323,700,1400,1600
I ,3,3,0,2,0,3,1,2,0.2035,0.7119,-0.1203,0.6612,0.9896,0.0023,-0.1308,0.0579,9.56,0.49,-0.61,2.93,0.0,9.34
F ,15920,0
L ,15920,106
M ,15920,876,249,876.0,249.0,323,700,1400,1600
I ,3,3,0,2,0,3,1,2,0.2044,0.712,-0.1207,0.6607,0.9896,0.0024,-0.1312,0.0574,9.52,0.46,-0.58,2.94,-0.07,9.32
F ,15927,85
L ,15927,105
M ,15929,876,248,876.0,248.0,323,700,1400,1600
I ,3,3,0,2,0,3,1,2,0.2059,0.712,-0.1218,0.6601,0.9896,0.0025,-0.1317,0.057,9.5,0.43,-0.63,2.94,-0.05,9.34
F ,15938,0
L ,15938,106
M ,15939,876,248,876.0,248.0,323,700,1400,1600
I ,3,3,0,2,0,3,1,2,0.2068,0.712,-0.1221,0.6597,0.9896,0.0027,-0.1322,0.0565,9.4,0.54,-0.72,2.96,-0.07,9.35
F ,15950,156
L ,15951,106
M ,15951,876,249,876.0,249.0,323,700,1400,1600
I ,3,3,0,2,0,3,1,2,0.2076,0.7122,-0.1223,0.6593,0.9895,0.003,-0.1326,0.056,9.39,0.54,-0.75,2.97,-0.03,9.34
F ,15960,61
L ,15960,106
M ,15960,876,248,876.0,248.0,323,700,1400,1600
I ,3,3,0,2,0,3,1,2,0.2084,0.7122,-0.1223,0.6589,0.9895,0.0034,-0.1331,0.0554,9.39,0.56,-0.79,2.99,-0.03,9.32
F ,15970,0
L ,15970,106
M ,15970,876,248,876.0,248.0,323,700,1400,1600
L ,15973,106
